run_id	commit	candidate_id	status	selection_score	pricing_status	segmentation_status	capped_pp_gini_mean	capped_pp_calibration_gap_mean	capped_pp_mae_mean	raw_pp_gini_mean	raw_pp_calibration_gap_mean	runtime_seconds	gate_failures	description
20260427_181736_d8ef4b3_baseline_enhanced_glm_splines	d8ef4b3	baseline_enhanced_glm_splines	keep	0.15592500	baseline	baseline	0.16840000	0.00190000	219.09040000	0.15400000	0.00280000	20.30		Baseline transparent enhanced GLM using natural splines for DriverAge, CarAge, and logDensity in frequency, raw severity, and capped severity; no interactions or calibration scalars.
20260427_183126_94c7ba8_enhanced_glm_component_scalars	94c7ba8	enhanced_glm_component_scalars	discard	0.14645000	not_pricing	not_segmentation	0.16660000	0.03260000	222.11880000	0.14670000	0.10710000	18.57	minimum_capped_gini_gain;capped_calibration_tolerance;capped_mae_tolerance;raw_gini_not_materially_worse	Baseline transparent enhanced GLM using natural splines for DriverAge, CarAge, and logDensity in frequency, raw severity, and capped severity; adds component-level frequency, raw severity, and capped severity calibration scalars estimated only inside each training fold.
20260427_183703_165dc35_enhanced_glm_driver_car_age_interaction	165dc35	enhanced_glm_driver_car_age_interaction	discard	0.15212500	not_pricing	not_segmentation	0.16710000	0.00190000	219.08080000	0.15560000	0.00280000	34.00	minimum_capped_gini_gain;minimum_fold_agreement	Enhanced GLM using natural splines for DriverAge, CarAge, and logDensity in frequency, raw severity, and capped severity; adds DriverAgeBand:CarAgeBand to the frequency component only.
20260427_184226_27af6e5_enhanced_glm_power_brand_frequency	27af6e5	enhanced_glm_power_brand_frequency	discard	0.14780000	not_pricing	not_segmentation	0.16690000	0.00200000	219.09050000	0.15650000	0.00300000	97.23	minimum_capped_gini_gain	Enhanced GLM using natural splines for DriverAge, CarAge, and logDensity in frequency, raw severity, and capped severity; adds Power:Brand to the frequency component only.
20260427_185953_5a72560_lightgbm_regularized_challenger	5a72560	lightgbm_regularized_challenger	keep	0.17907500	not_pricing	candidate	0.18270000	-0.01450000	217.62450000	0.19800000	-0.04710000	20.15		Regularized LightGBM challenger using constrained leaf counts and moderate L2 penalties for frequency, raw severity, and capped severity.
20260427_190208_db44fd3_lightgbm_deeper_frequency_capped	db44fd3	lightgbm_deeper_frequency_capped	discard	0.17902500	not_pricing	not_segmentation	0.18260000	-0.01430000	217.52980000	0.19290000	-0.06630000	25.92	minimum_capped_gini_gain;minimum_fold_agreement;raw_gini_not_materially_worse	LightGBM challenger with slightly deeper frequency and capped-severity trees, retaining L2 regularization and minimum leaf-size controls.
20260427_190415_abeb4a1_lightgbm_flexible_capped_severity	abeb4a1	lightgbm_flexible_capped_severity	discard	0.17960000	not_pricing	not_segmentation	0.18390000	-0.01720000	217.31120000	0.19760000	-0.04690000	21.85	minimum_capped_gini_gain	Regularized LightGBM challenger that keeps the current frequency and raw severity grids but gives capped severity a more flexible grid.
20260427_190618_314294f_lightgbm_aggressive_capped_severity	314294f	lightgbm_aggressive_capped_severity	discard	0.17920000	not_pricing	not_segmentation	0.18560000	-0.02560000	216.39840000	0.20000000	-0.04650000	25.54	minimum_capped_gini_gain;minimum_fold_agreement	LightGBM challenger that preserves the current frequency and raw severity grids while testing a more aggressive capped-severity grid.
20260427_191405_4939ac8_enhanced_glm_region_density_frequency	4939ac8	enhanced_glm_region_density_frequency	discard	0.15032500	not_pricing	not_segmentation	0.16580000	0.00190000	219.06720000	0.15130000	0.00290000	35.83	pricing_material_improvement;segmentation_minimum_capped_gini_gain;segmentation_minimum_fold_agreement;segmentation_raw_gini_not_materially_worse	Enhanced GLM using natural splines for DriverAge, CarAge, and logDensity in frequency, raw severity, and capped severity; adds Region:DensityBand to the frequency component only.
20260427_191724_d0eaa53_enhanced_glm_region_density_capped_severity	d0eaa53	enhanced_glm_region_density_capped_severity	crash	0.00000000	crash	crash	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	9.34	candidate crashed	Enhanced GLM using natural splines for DriverAge, CarAge, and logDensity in frequency, raw severity, and capped severity; adds Region:DensityBand to the capped severity component only.
20260427_191933_d38f8c8_enhanced_glm_driver_car_age_capped_severity	d38f8c8	enhanced_glm_driver_car_age_capped_severity	discard	0.14287500	not_pricing	not_segmentation	0.15810000	0.00290000	219.20950000	0.15400000	0.00280000	22.59	pricing_material_improvement;pricing_capped_gini_not_materially_worse;segmentation_minimum_capped_gini_gain;segmentation_minimum_fold_agreement;segmentation_raw_gini_not_materially_worse	Enhanced GLM using natural splines for DriverAge, CarAge, and logDensity in frequency, raw severity, and capped severity; adds DriverAgeBand:CarAgeBand to the capped severity component only.
20260427_192212_c1f4043_enhanced_glm_power_brand_capped_severity	c1f4043	enhanced_glm_power_brand_capped_severity	discard	0.14992500	not_pricing	not_segmentation	0.16880000	-0.00110000	218.79010000	0.15400000	0.00280000	24.84	pricing_material_improvement;segmentation_minimum_capped_gini_gain;segmentation_minimum_fold_agreement;segmentation_raw_gini_not_materially_worse	Enhanced GLM using natural splines for DriverAge, CarAge, and logDensity in frequency, raw severity, and capped severity; adds Power:Brand to the capped severity component only.
20260428_110542_7c45cfb_lightgbm_expanded_regularized_grid	7c45cfb	lightgbm_expanded_regularized_grid	discard	0.17845000	not_pricing	not_segmentation	0.18200000	-0.01420000	217.57800000	0.19760000	-0.03850000	28.55	pricing_transparent_model_or_documented_blend;pricing_capped_calibration_tight;segmentation_minimum_capped_gini_gain;segmentation_minimum_fold_agreement	Regularized LightGBM challenger with an expanded inner-validation grid. It keeps the current champion settings available while adding more conservative frequency options and previously useful capped severity options.
